estacion_nombre,fecha,temperatura_inst,temperatura_max,temperatura_min,humedad_inst,precipitacion_hora,precipitacion_dia,nivel_inst_m,nivel_med_m,bateria_v
Pampilla,2025-08-01 00:00:00,0.9,2.1,-0.3,52.4,0.0,0.0,,,12.38
Pampilla,2025-08-01 01:00:00,-0.3,0.9,-1.5,51.8,0.0,0.0,,,12.35
Pampilla,2025-08-01 02:00:00,-0.8,0.4,-2.0,51.7,0.0,0.0,,,12.41
Pampilla,2025-08-01 03:00:00,-0.9,0.3,-2.1,54.2,0.0,0.0,,,12.37
Pampilla,2025-08-01 04:00:00,-0.9,0.3,-2.1,50.5,0.0,0.0,,,12.36
Pampilla,2025-08-01 05:00:00,0.3,1.5,-0.9,53.0,0.0,0.0,,,12.4
Pampilla,2025-08-01 06:00:00,0.7,1.9,-0.5,46.9,0.0,0.0,,,12.39
Pampilla,2025-08-01 07:00:00,2.8,4.0,1.6,47.1,0.0,0.0,,,12.65
Pampilla,2025-08-01 08:00:00,4.5,5.7,3.3,41.1,0.0,0.0,,,12.88
Pampilla,2025-08-01 09:00:00,6.9,8.1,5.7,38.7,0.0,0.0,,,13.07
Pampilla,2025-08-01 10:00:00,8.2,9.4,7.0,26.7,0.0,0.0,,,13.23
Pampilla,2025-08-01 11:00:00,10.3,11.5,9.1,27.8,0.0,0.0,,,13.36
Pampilla,2025-08-01 12:00:00,12.2,13.4,11.0,24.4,0.0,0.0,,,13.35
Pampilla,2025-08-01 13:00:00,13.2,14.4,12.0,13.9,0.0,0.0,,,13.33
Pampilla,2025-08-01 14:00:00,13.8,15.0,12.6,19.5,0.0,0.0,,,13.29
Pampilla,2025-08-01 15:00:00,13.5,14.7,12.3,15.9,0.0,0.0,,,13.16
Pampilla,2025-08-01 16:00:00,14.0,15.2,12.8,18.7,0.0,0.0,,,12.88
Pampilla,2025-08-01 17:00:00,13.0,14.2,11.8,14.1,0.0,0.0,,,12.64
Pampilla,2025-08-01 18:00:00,11.4,12.6,10.2,19.7,0.0,0.0,,,12.44
Pampilla,2025-08-01 19:00:00,10.3,11.5,9.1,24.0,0.0,0.0,,,12.36
Pampilla,2025-08-01 20:00:00,8.0,9.2,6.8,29.0,0.0,0.0,,,12.43
Pampilla,2025-08-01 21:00:00,6.4,7.6,5.2,32.8,0.0,0.0,,,12.39
Pampilla,2025-08-01 22:00:00,4.0,5.2,2.8,37.5,0.0,0.0,,,12.42
Pampilla,2025-08-01 23:00:00,2.5,3.7,1.3,41.1,0.0,0.0,,,12.42
Pampilla,2025-08-02 00:00:00,1.1,2.3,-0.1,52.0,0.0,0.0,,,12.43
Pampilla,2025-08-02 01:00:00,-0.1,1.1,-1.3,52.1,0.0,0.0,,,12.39
Pampilla,2025-08-02 02:00:00,-0.3,0.9,-1.5,51.3,0.0,0.0,,,12.39
Pampilla,2025-08-02 03:00:00,-0.7,0.5,-1.9,52.4,0.0,0.0,,,12.43
Pampilla,2025-08-02 04:00:00,-1.0,0.2,-2.2,51.0,0.0,0.0,,,12.38
Pampilla,2025-08-02 05:00:00,-0.2,1.0,-1.4,52.3,0.0,0.0,,,12.41
Pampilla,2025-08-02 06:00:00,1.4,2.6,0.2,50.3,0.0,0.0,,,12.39
Pampilla,2025-08-02 07:00:00,2.9,4.1,1.7,42.6,0.0,0.0,,,12.69
Pampilla,2025-08-02 08:00:00,4.6,5.8,3.4,38.0,0.0,0.0,,,12.9
Pampilla,2025-08-02 09:00:00,6.1,7.3,4.9,33.3,0.0,0.0,,,13.09
Pampilla,2025-08-02 10:00:00,8.6,9.8,7.4,26.1,0.0,0.0,,,13.22
Pampilla,2025-08-02 11:00:00,10.0,11.2,8.8,26.1,0.0,0.0,,,13.33
Pampilla,2025-08-02 12:00:00,11.4,12.6,10.2,19.8,0.0,0.0,,,13.37
Pampilla,2025-08-02 13:00:00,12.6,13.8,11.4,19.6,0.0,0.0,,,13.4
Pampilla,2025-08-02 14:00:00,14.0,15.2,12.8,14.1,0.0,0.0,,,13.28
Pampilla,2025-08-02 15:00:00,14.2,15.4,13.0,13.6,0.0,0.0,,,13.13
Pampilla,2025-08-02 16:00:00,13.3,14.5,12.1,17.0,0.0,0.0,,,12.93
Pampilla,2025-08-02 17:00:00,12.8,14.0,11.6,14.8,0.0,0.0,,,12.7
